k,nbk,pk,type
1,3892,0.6622426408031309,fictive
2,992,0.16879360217798198,fictive
258,1,1.7015484090522376E-4,fictive
3,376,0.06397822018036413,fictive
4,196,0.03335034881742385,fictive
5,127,0.021609664794963415,fictive
6,79,0.013442232431512676,fictive
7,47,0.007997277522545516,fictive
8,30,0.005104645227156712,fictive
9,30,0.005104645227156712,fictive
10,13,0.0022120129317679087,fictive
11,17,0.0028926322953888037,fictive
12,11,0.0018717032499574614,fictive
13,12,0.002041858090862685,fictive
14,5,8.507742045261188E-4,fictive
15,5,8.507742045261188E-4,fictive
16,6,0.0010209290454313426,fictive
17,4,6.80619363620895E-4,fictive
18,5,8.507742045261188E-4,fictive
19,4,6.80619363620895E-4,fictive
20,5,8.507742045261188E-4,fictive
84,1,1.7015484090522376E-4,fictive
21,1,1.7015484090522376E-4,fictive
22,4,6.80619363620895E-4,fictive
24,1,1.7015484090522376E-4,fictive
27,1,1.7015484090522376E-4,fictive
28,1,1.7015484090522376E-4,fictive
29,1,1.7015484090522376E-4,fictive
31,2,3.403096818104475E-4,fictive
32,2,3.403096818104475E-4,fictive
35,1,1.7015484090522376E-4,fictive
36,1,1.7015484090522376E-4,fictive
43,1,1.7015484090522376E-4,fictive
45,1,1.7015484090522376E-4,fictive
48,1,1.7015484090522376E-4,fictive
54,1,1.7015484090522376E-4,fictive
1,4509,0.7689290586630286,real
2,656,0.11186903137789904,real
3,236,0.04024556616643929,real
4,114,0.019440654843110503,real
5,71,0.012107776261937243,real
6,59,0.010061391541609822,real
7,32,0.005457025920873124,real
8,23,0.003922237380627558,real
9,21,0.0035811732605729877,real
10,18,0.0030695770804911324,real
11,11,0.0018758526603001365,real
12,6,0.0010231923601637107,real
140,1,1.7053206002728513E-4,real
13,8,0.001364256480218281,real
14,8,0.001364256480218281,real
15,8,0.001364256480218281,real
16,9,0.0015347885402455662,real
17,4,6.821282401091405E-4,real
18,4,6.821282401091405E-4,real
19,9,0.0015347885402455662,real
20,5,8.526603001364257E-4,real
21,1,1.7053206002728513E-4,real
22,3,5.115961800818554E-4,real
23,2,3.4106412005457026E-4,real
24,2,3.4106412005457026E-4,real
25,1,1.7053206002728513E-4,real
26,2,3.4106412005457026E-4,real
27,2,3.4106412005457026E-4,real
28,1,1.7053206002728513E-4,real
156,1,1.7053206002728513E-4,real
29,1,1.7053206002728513E-4,real
30,5,8.526603001364257E-4,real
31,4,6.821282401091405E-4,real
32,3,5.115961800818554E-4,real
33,2,3.4106412005457026E-4,real
34,1,1.7053206002728513E-4,real
37,2,3.4106412005457026E-4,real
40,1,1.7053206002728513E-4,real
41,1,1.7053206002728513E-4,real
43,3,5.115961800818554E-4,real
44,1,1.7053206002728513E-4,real
46,1,1.7053206002728513E-4,real
54,1,1.7053206002728513E-4,real
56,2,3.4106412005457026E-4,real
62,1,1.7053206002728513E-4,real
63,1,1.7053206002728513E-4,real
72,1,1.7053206002728513E-4,real
73,1,1.7053206002728513E-4,real
78,1,1.7053206002728513E-4,real
87,1,1.7053206002728513E-4,real
90,1,1.7053206002728513E-4,real
93,1,1.7053206002728513E-4,real
124,1,1.7053206002728513E-4,real
