property, alpha_real, alpha_fictive
illustrator,1.7769994321091902,1.6427450869429188
site of astronomical discovery,1.5452921564989834,1.4175139751040116
cause of death,1.6849734858243317,1.5859274366065588
architectural style,1.7843233548002382,1.5914683069940252
fabrication method,1.4174417665230723,1.4911808247808802
native language,1.8378999682613597,1.5806416702030985
has works in the collection,2.149361898177218,1.7340342627780883
competition class,1.4457316483081992,1.662727601610971
religion,1.4884271496786816,1.6484582086074373
member of political party,1.9968649292191403,1.7334088011184585
creator,2.1240423363264114,1.9838754289987048
