property, alpha_real, alpha_fictive
illustrator,1.7769994321091902,1.761624899722967
site of astronomical discovery,1.545265556864897,1.3577913803960173
cause of death,1.6809735394447138,1.4358435763308948
architectural style,1.7838770811588458,1.675858525419787
fabrication method,1.4184256370754509,1.352494172945193
native language,1.8386782563401916,1.3607332930770988
has works in the collection,2.1802816176557376,1.4827341923050181
competition class,1.4462590131764164,1.4016498628550704
religion,1.5043953112278179,1.9744426229441827
member of political party,1.979534789323063,1.5631727746245725
creator,2.128832029804972,2.056911631675751
