k,nbk,pk,type
1,112229,0.5649158130521229,fictive
2,34141,0.17185211285329574,fictive
3,15746,0.0792590541866962,fictive
4,8847,0.0445322527873556,fictive
5,5742,0.028902927037978508,fictive
6,3878,0.01952029798907709,fictive
7,2803,0.014109178768278257,fictive
8,2094,0.01054035688218861,fictive
9,1643,0.008270203609090681,fictive
10,1313,0.006609115848287318,fictive
11,1035,0.005209775249792364,fictive
12,882,0.004439634560692623,fictive
13,747,0.0037600986585457933,fictive
14,652,0.0032819067274054313,fictive
1038,1,5.033599275161704E-6,fictive
15,546,0.0027483452042382905,fictive
16,475,0.0023909596557018095,fictive
17,423,0.002129212493393401,fictive
18,372,0.001872498930360154,fictive
19,325,0.001635919764427554,fictive
20,303,0.0015251805803739964,fictive
21,232,0.0011677950318375154,fictive
22,241,0.0012130974253139707,fictive
23,217,0.0010922910427100898,fictive
24,187,9.412830644552387E-4,fictive
25,172,8.657790753278131E-4,fictive
26,164,8.255102811265195E-4,fictive
27,135,6.795359021468301E-4,fictive
28,144,7.248382956232854E-4,fictive
29,127,6.392671079455364E-4,fictive
30,130,6.543679057710215E-4,fictive
31,106,5.335615231671407E-4,fictive
1055,1,5.033599275161704E-6,fictive
32,100,5.033599275161704E-4,fictive
33,80,4.0268794201293634E-4,fictive
34,92,4.630911333148768E-4,fictive
35,82,4.1275514056325976E-4,fictive
36,92,4.630911333148768E-4,fictive
37,71,3.57385548536481E-4,fictive
38,71,3.57385548536481E-4,fictive
39,74,3.724863463619661E-4,fictive
40,61,3.07049555784864E-4,fictive
41,57,2.8691515868421713E-4,fictive
42,54,2.7181436085873205E-4,fictive
43,59,2.9698235723454056E-4,fictive
2091,1,5.033599275161704E-6,fictive
44,54,2.7181436085873205E-4,fictive
45,48,2.416127652077618E-4,fictive
46,37,1.8624317318098306E-4,fictive
2095,1,5.033599275161704E-6,fictive
47,30,1.5100797825485113E-4,fictive
1071,1,5.033599275161704E-6,fictive
48,41,2.0637757028162988E-4,fictive
49,43,2.1644476883195328E-4,fictive
50,39,1.9631037173130646E-4,fictive
51,23,1.157727833287192E-4,fictive
52,24,1.208063826038809E-4,fictive
53,28,1.409407797045277E-4,fictive
54,25,1.258399818790426E-4,fictive
55,28,1.409407797045277E-4,fictive
56,29,1.4597437897968942E-4,fictive
57,22,1.107391840535575E-4,fictive
58,25,1.258399818790426E-4,fictive
59,15,7.550398912742557E-5,fictive
60,29,1.4597437897968942E-4,fictive
61,21,1.057055847783958E-4,fictive
62,21,1.057055847783958E-4,fictive
63,17,8.557118767774898E-5,fictive
5183,1,5.033599275161704E-6,fictive
64,26,1.3087358115420431E-4,fictive
65,22,1.107391840535575E-4,fictive
66,25,1.258399818790426E-4,fictive
67,21,1.057055847783958E-4,fictive
68,28,1.409407797045277E-4,fictive
69,17,8.557118767774898E-5,fictive
70,14,7.047038985226386E-5,fictive
71,11,5.536959202677875E-5,fictive
4167,1,5.033599275161704E-6,fictive
72,16,8.053758840258727E-5,fictive
