k,nbk,pk,type
1,3570,0.5116079105760963,fictive
2,1141,0.16351390083118372,fictive
258,1,1.4330753797649757E-4,fictive
2562,1,1.4330753797649757E-4,fictive
3,597,0.08555460017196904,fictive
4,344,0.049297793063915164,fictive
5,228,0.03267411865864144,fictive
6,161,0.023072513614216108,fictive
7,137,0.019633132702780165,fictive
8,92,0.013184293493837776,fictive
9,76,0.010891372886213814,fictive
10,66,0.009458297506448839,fictive
11,57,0.00816852966466036,fictive
12,55,0.007881914588707366,fictive
13,33,0.004729148753224419,fictive
14,25,0.0035826884494124392,fictive
15,18,0.0025795356835769563,fictive
16,19,0.0027228432215534535,fictive
17,18,0.0025795356835769563,fictive
18,18,0.0025795356835769563,fictive
19,20,0.002866150759529951,fictive
20,19,0.0027228432215534535,fictive
21,12,0.0017196904557179708,fictive
277,1,1.4330753797649757E-4,fictive
22,7,0.001003152765835483,fictive
23,7,0.001003152765835483,fictive
24,10,0.0014330753797649756,fictive
25,11,0.0015763829177414732,fictive
793,1,1.4330753797649757E-4,fictive
26,15,0.0021496130696474634,fictive
27,5,7.165376898824878E-4,fictive
1563,1,1.4330753797649757E-4,fictive
28,3,4.299226139294927E-4,fictive
29,7,0.001003152765835483,fictive
30,6,8.598452278589854E-4,fictive
31,5,7.165376898824878E-4,fictive
32,6,8.598452278589854E-4,fictive
545,1,1.4330753797649757E-4,fictive
33,4,5.732301519059903E-4,fictive
34,5,7.165376898824878E-4,fictive
290,1,1.4330753797649757E-4,fictive
1058,1,1.4330753797649757E-4,fictive
35,5,7.165376898824878E-4,fictive
36,9,0.0012897678417884782,fictive
37,7,0.001003152765835483,fictive
38,6,8.598452278589854E-4,fictive
39,2,2.8661507595299513E-4,fictive
296,1,1.4330753797649757E-4,fictive
40,3,4.299226139294927E-4,fictive
41,2,2.8661507595299513E-4,fictive
297,1,1.4330753797649757E-4,fictive
42,3,4.299226139294927E-4,fictive
43,3,4.299226139294927E-4,fictive
300,1,1.4330753797649757E-4,fictive
44,1,1.4330753797649757E-4,fictive
45,3,4.299226139294927E-4,fictive
46,3,4.299226139294927E-4,fictive
302,1,1.4330753797649757E-4,fictive
47,6,8.598452278589854E-4,fictive
48,2,2.8661507595299513E-4,fictive
561,1,1.4330753797649757E-4,fictive
49,2,2.8661507595299513E-4,fictive
50,1,1.4330753797649757E-4,fictive
51,4,5.732301519059903E-4,fictive
52,1,1.4330753797649757E-4,fictive
53,2,2.8661507595299513E-4,fictive
55,2,2.8661507595299513E-4,fictive
56,2,2.8661507595299513E-4,fictive
1337,1,1.4330753797649757E-4,fictive
57,3,4.299226139294927E-4,fictive
58,1,1.4330753797649757E-4,fictive
60,1,1.4330753797649757E-4,fictive
61,1,1.4330753797649757E-4,fictive
62,1,1.4330753797649757E-4,fictive
63,5,7.165376898824878E-4,fictive
65,2,2.8661507595299513E-4,fictive
67,1,1.4330753797649757E-4,fictive
68,1,1.4330753797649757E-4,fictive
69,2,2.8661507595299513E-4,fictive
70,3,4.299226139294927E-4,fictive
71,2,2.8661507595299513E-4,fictive
584,1,1.4330753797649757E-4,fictive
73,2,2.8661507595299513E-4,fictive
1101,1,1.4330753797649757E-4,fictive
79,2,2.8661507595299513E-4,fictive
83,1,1.4330753797649757E-4,fictive
84,1,1.4330753797649757E-4,fictive
4695,1,1.4330753797649757E-4,fictive
87,1,1.4330753797649757E-4,fictive
90,1,1.4330753797649757E-4,fictive
92,2,2.8661507595299513E-4,fictive
97,4,5.732301519059903E-4,fictive
99,2,2.8661507595299513E-4,fictive
101,1,1.4330753797649757E-4,fictive
103,1,1.4330753797649757E-4,fictive
105,1,1.4330753797649757E-4,fictive
617,1,1.4330753797649757E-4,fictive
108,1,1.4330753797649757E-4,fictive
113,1,1.4330753797649757E-4,fictive
1651,1,1.4330753797649757E-4,fictive
117,1,1.4330753797649757E-4,fictive
375,1,1.4330753797649757E-4,fictive
120,1,1.4330753797649757E-4,fictive
121,1,1.4330753797649757E-4,fictive
3966,1,1.4330753797649757E-4,fictive
1152,1,1.4330753797649757E-4,fictive
129,1,1.4330753797649757E-4,fictive
139,2,2.8661507595299513E-4,fictive
140,1,1.4330753797649757E-4,fictive
656,1,1.4330753797649757E-4,fictive
144,1,1.4330753797649757E-4,fictive
403,1,1.4330753797649757E-4,fictive
2198,1,1.4330753797649757E-4,fictive
150,1,1.4330753797649757E-4,fictive
662,1,1.4330753797649757E-4,fictive
1944,1,1.4330753797649757E-4,fictive
157,1,1.4330753797649757E-4,fictive
162,1,1.4330753797649757E-4,fictive
419,1,1.4330753797649757E-4,fictive
165,1,1.4330753797649757E-4,fictive
936,1,1.4330753797649757E-4,fictive
168,1,1.4330753797649757E-4,fictive
169,1,1.4330753797649757E-4,fictive
172,1,1.4330753797649757E-4,fictive
176,1,1.4330753797649757E-4,fictive
177,2,2.8661507595299513E-4,fictive
435,1,1.4330753797649757E-4,fictive
180,1,1.4330753797649757E-4,fictive
182,1,1.4330753797649757E-4,fictive
186,1,1.4330753797649757E-4,fictive
189,1,1.4330753797649757E-4,fictive
190,2,2.8661507595299513E-4,fictive
193,1,1.4330753797649757E-4,fictive
199,1,1.4330753797649757E-4,fictive
201,1,1.4330753797649757E-4,fictive
204,1,1.4330753797649757E-4,fictive
2254,1,1.4330753797649757E-4,fictive
212,1,1.4330753797649757E-4,fictive
4052,1,1.4330753797649757E-4,fictive
478,1,1.4330753797649757E-4,fictive
3052,1,1.4330753797649757E-4,fictive
239,1,1.4330753797649757E-4,fictive
240,1,1.4330753797649757E-4,fictive
1009,1,1.4330753797649757E-4,fictive
1020,1,1.4330753797649757E-4,fictive
255,1,1.4330753797649757E-4,fictive
512,1,1.6204829039053638E-4,real
1,2490,0.4035002430724356,real
2,715,0.11586452762923351,real
3,457,0.07405606870847513,real
4,408,0.06611570247933884,real
5,273,0.04423918327661643,real
6,131,0.021228326041160265,real
7,85,0.013774104683195593,real
8,90,0.014584346135148274,real
1032,1,1.6204829039053638E-4,real
9,54,0.008750607681088965,real
10,83,0.013450008102414519,real
