property, alpha_real, alpha_fictive
illustrator,1.819985119147225,1.7089910241291362
site of astronomical discovery,1.545265556864897,1.3859115558984771
cause of death,1.6802856500607173,1.4472096559292664
architectural style,1.7352291568809588,1.3464473558182655
fabrication method,1.4130205506357154,1.3585732913142834
native language,1.8348319751041113,1.4388451708547227
has works in the collection,2.1639142588301947,1.5087484630365753
competition class,1.4482440316244267,1.3953335327216227
religion,1.4997969354429368,1.4332263604986328
member of political party,1.9845670598037244,1.5117546707783143
creator,2.1718427733639643,2.0173839534150764
cast member,3.5837375265601836,1.886112283425386
depends on software,1.792635632509822,1.8290210241856897
taxon range map image,1.4135227698129553,1.605823589838415
candidacy in election,4.658315697324774,1.5844372417695964
partner,1.3273989240414519,1.4500813445083836
