k,nbk,pk,type
1,6750,0.5067187148112003,fictive
513,2,1.5013887846257787E-4,fictive
2,2263,0.16988214098040688,fictive
3,1121,0.0841528413782749,fictive
4,665,0.049921177088807146,fictive
5,398,0.029877636814052998,fictive
6,317,0.023797012236318596,fictive
7,239,0.017941595976278056,fictive
8,194,0.014563471210870055,fictive
9,156,0.011710832520081075,fictive
10,127,0.009533818782373695,fictive
4618,1,7.506943923128894E-5,fictive
11,94,0.007056527287741161,fictive
12,72,0.005404999624652804,fictive
13,68,0.005104721867727648,fictive
14,53,0.003978680279258314,fictive
15,59,0.004429096914646048,fictive
16,44,0.0033030553261767133,fictive
17,38,0.0028526386907889796,fictive
18,33,0.002477291494632535,fictive
19,35,0.002627430373095113,fictive
20,33,0.002477291494632535,fictive
21,24,0.0018016665415509347,fictive
22,19,0.0014263193453944898,fictive
23,22,0.0016515276630883566,fictive
24,14,0.0010509721492380452,fictive
25,24,0.0018016665415509347,fictive
26,14,0.0010509721492380452,fictive
27,17,0.001276180466931912,fictive
28,16,0.001201111027700623,fictive
29,12,9.008332707754673E-4,fictive
30,10,7.506943923128894E-4,fictive
31,12,9.008332707754673E-4,fictive
32,16,0.001201111027700623,fictive
33,11,8.257638315441783E-4,fictive
34,11,8.257638315441783E-4,fictive
35,7,5.254860746190226E-4,fictive
36,9,6.756249530816005E-4,fictive
13860,1,7.506943923128894E-5,fictive
37,5,3.753471961564447E-4,fictive
38,12,9.008332707754673E-4,fictive
39,1,7.506943923128894E-5,fictive
40,10,7.506943923128894E-4,fictive
41,8,6.005555138503115E-4,fictive
42,8,6.005555138503115E-4,fictive
43,2,1.5013887846257787E-4,fictive
44,6,4.5041663538773367E-4,fictive
45,6,4.5041663538773367E-4,fictive
46,8,6.005555138503115E-4,fictive
47,5,3.753471961564447E-4,fictive
48,3,2.2520831769386684E-4,fictive
49,2,1.5013887846257787E-4,fictive
13362,1,7.506943923128894E-5,fictive
50,8,6.005555138503115E-4,fictive
51,1,7.506943923128894E-5,fictive
52,2,1.5013887846257787E-4,fictive
53,5,3.753471961564447E-4,fictive
54,4,3.0027775692515574E-4,fictive
55,1,7.506943923128894E-5,fictive
56,4,3.0027775692515574E-4,fictive
57,7,5.254860746190226E-4,fictive
58,5,3.753471961564447E-4,fictive
59,1,7.506943923128894E-5,fictive
60,2,1.5013887846257787E-4,fictive
61,2,1.5013887846257787E-4,fictive
62,2,1.5013887846257787E-4,fictive
63,5,3.753471961564447E-4,fictive
64,3,2.2520831769386684E-4,fictive
65,2,1.5013887846257787E-4,fictive
25665,1,7.506943923128894E-5,fictive
66,2,1.5013887846257787E-4,fictive
67,4,3.0027775692515574E-4,fictive
68,1,7.506943923128894E-5,fictive
1093,1,7.506943923128894E-5,fictive
70,3,2.2520831769386684E-4,fictive
71,1,7.506943923128894E-5,fictive
583,1,7.506943923128894E-5,fictive
72,3,2.2520831769386684E-4,fictive
584,1,7.506943923128894E-5,fictive
73,2,1.5013887846257787E-4,fictive
74,1,7.506943923128894E-5,fictive
76,2,1.5013887846257787E-4,fictive
77,3,2.2520831769386684E-4,fictive
79,3,2.2520831769386684E-4,fictive
80,1,7.506943923128894E-5,fictive
81,1,7.506943923128894E-5,fictive
82,2,1.5013887846257787E-4,fictive
83,1,7.506943923128894E-5,fictive
85,1,7.506943923128894E-5,fictive
86,1,7.506943923128894E-5,fictive
87,1,7.506943923128894E-5,fictive
88,1,7.506943923128894E-5,fictive
90,1,7.506943923128894E-5,fictive
91,4,3.0027775692515574E-4,fictive
94,3,2.2520831769386684E-4,fictive
95,2,1.5013887846257787E-4,fictive
97,1,7.506943923128894E-5,fictive
98,2,1.5013887846257787E-4,fictive
99,2,1.5013887846257787E-4,fictive
29797,1,7.506943923128894E-5,fictive
101,2,1.5013887846257787E-4,fictive
102,1,7.506943923128894E-5,fictive
103,1,7.506943923128894E-5,fictive
104,1,7.506943923128894E-5,fictive
105,1,7.506943923128894E-5,fictive
106,3,2.2520831769386684E-4,fictive
107,4,3.0027775692515574E-4,fictive
108,2,1.5013887846257787E-4,fictive
109,1,7.506943923128894E-5,fictive
111,3,2.2520831769386684E-4,fictive
114,2,1.5013887846257787E-4,fictive
115,1,7.506943923128894E-5,fictive
116,1,7.506943923128894E-5,fictive
117,3,2.2520831769386684E-4,fictive
118,2,1.5013887846257787E-4,fictive
119,1,7.506943923128894E-5,fictive
120,2,1.5013887846257787E-4,fictive
121,3,2.2520831769386684E-4,fictive
636,1,7.506943923128894E-5,fictive
125,2,1.5013887846257787E-4,fictive
126,1,7.506943923128894E-5,fictive
639,1,7.506943923128894E-5,fictive
128,1,7.506943923128894E-5,fictive
129,2,1.5013887846257787E-4,fictive
130,2,1.5013887846257787E-4,fictive
132,2,1.5013887846257787E-4,fictive
134,1,7.506943923128894E-5,fictive
135,1,7.506943923128894E-5,fictive
3208,1,7.506943923128894E-5,fictive
140,2,1.5013887846257787E-4,fictive
141,1,7.506943923128894E-5,fictive
142,1,7.506943923128894E-5,fictive
143,1,7.506943923128894E-5,fictive
152,1,7.506943923128894E-5,fictive
1178,1,7.506943923128894E-5,fictive
155,2,1.5013887846257787E-4,fictive
157,3,2.2520831769386684E-4,fictive
671,1,7.506943923128894E-5,fictive
161,1,7.506943923128894E-5,fictive
163,2,1.5013887846257787E-4,fictive
165,1,7.506943923128894E-5,fictive
169,1,7.506943923128894E-5,fictive
170,1,7.506943923128894E-5,fictive
176,1,7.506943923128894E-5,fictive
178,1,7.506943923128894E-5,fictive
180,1,7.506943923128894E-5,fictive
181,1,7.506943923128894E-5,fictive
182,1,7.506943923128894E-5,fictive
183,1,7.506943923128894E-5,fictive
188,1,7.506943923128894E-5,fictive
200,1,7.506943923128894E-5,fictive
204,1,7.506943923128894E-5,fictive
205,2,1.5013887846257787E-4,fictive
206,1,7.506943923128894E-5,fictive
11985,1,7.506943923128894E-5,fictive
723,1,7.506943923128894E-5,fictive
212,3,2.2520831769386684E-4,fictive
219,1,7.506943923128894E-5,fictive
1760,1,7.506943923128894E-5,fictive
226,1,7.506943923128894E-5,fictive
227,1,7.506943923128894E-5,fictive
232,1,7.506943923128894E-5,fictive
15081,1,7.506943923128894E-5,fictive
236,1,7.506943923128894E-5,fictive
249,1,7.506943923128894E-5,fictive
255,1,7.506943923128894E-5,fictive
259,2,1.5013887846257787E-4,fictive
11524,1,7.506943923128894E-5,fictive
263,1,7.506943923128894E-5,fictive
270,1,7.506943923128894E-5,fictive
785,1,7.506943923128894E-5,fictive
274,1,7.506943923128894E-5,fictive
282,1,7.506943923128894E-5,fictive
814,1,7.506943923128894E-5,fictive
307,1,7.506943923128894E-5,fictive
308,1,7.506943923128894E-5,fictive
319,1,7.506943923128894E-5,fictive
321,1,7.506943923128894E-5,fictive
331,1,7.506943923128894E-5,fictive
334,1,7.506943923128894E-5,fictive
346,1,7.506943923128894E-5,fictive
7517,1,7.506943923128894E-5,fictive
350,2,1.5013887846257787E-4,fictive
2913,1,7.506943923128894E-5,fictive
8554,1,7.506943923128894E-5,fictive
363,1,7.506943923128894E-5,fictive
377,2,1.5013887846257787E-4,fictive
